folioviv,foliohog,ubica_geo,factor,ing_cor,gasto_mon,alimentos,educa_espa,transporte,salud,entidad
100001901,1,1001,207,138232.38,47478.66,17858.49,8651.61,9929.03,0.0,1
100001902,1,1001,207,118014.04,38782.74,22384.13,839.02,8796.76,0.0,1
100001904,1,1001,207,46866.32,28601.26,9382.81,0.0,11009.03,1128.91,1
100001905,1,1001,207,110430.1,43509.83,23682.69,4239.86,7068.64,19.56,1
100002501,1,1001,196,99494.12,132552.4,39207.49,16040.42,8296.94,7767.35,1
100002502,1,1001,196,119559.08,74443.1,25006.83,2676.0,12314.75,6104.31,1
100002504,1,1001,196,78830.79,35896.53,19285.56,2496.77,3780.93,0.0,1
100002505,1,1001,196,41394.62,148492.7,19902.58,3182.13,81813.73,27838.34,1
100002506,1,1001,196,58162.55,41946.95,12792.65,9219.94,4543.64,58.69,1
100003701,1,1001,213,102540.94,50617.56,20455.43,0.0,11298.4,4010.86,1
100003702,1,1001,213,270786.86,200255.55,37979.81,2880.0,54060.0,0.0,1
100003703,1,1001,213,119771.27,81423.14,33338.43,16749.73,5523.26,0.0,1
100003704,1,1001,213,46908.18,32383.77,4898.52,0.0,3604.25,0.0,1
100003705,1,1001,213,42414.61,35683.07,10966.97,0.0,2897.1,0.0,1
100003706,1,1001,213,56311.45,37349.55,13396.96,0.0,8700.0,0.0,1
100004201,1,1001,220,311114.47,115208.83,39229.18,12466.2,22646.94,3541.26,1
100004202,1,1001,220,102428.62,70690.33,8999.83,27342.29,18230.23,1663.02,1
100004203,1,1001,220,191240.73,145719.48,38494.21,39935.86,15800.16,2347.82,1
100004204,1,1001,220,365358.05,226115.85,62138.44,18251.36,65992.07,11543.46,1
100004206,1,1001,220,181038.44,232597.26,39728.47,58608.43,24360.57,880.43,1
100005601,1,1001,182,103770.46,35993.41,5708.51,2886.88,9265.69,0.0,1
100005602,1,1001,182,54344.24,54781.52,20327.02,0.0,16800.0,5478.26,1
100005603,1,1001,182,233975.39,58356.58,18707.07,9450.0,11850.0,0.0,1
100005604,1,1001,182,85819.64,29873.52,17534.4,0.0,5847.0,0.0,1
100005605,1,1001,182,68922.65,46887.35,17009.89,1200.0,12642.78,557.59,1
100005606,1,1001,182,107360.65,34508.07,21342.67,1829.5,3857.12,0.0,1
100006401,1,1001,193,205926.87,68093.98,29294.76,8248.93,21376.71,1809.76,1
100006402,1,1001,193,195162.33,117315.05,10799.96,67739.9,11992.84,0.0,1
100006403,1,1001,193,111650.97,45974.29,14862.65,12670.67,10650.63,1066.3,1
100006404,1,1001,193,186904.31,123140.84,24023.39,57910.22,17464.73,3815.2,1
100006405,1,1001,193,102529.59,42747.25,15749.89,0.0,9963.17,684.78,1
100006406,1,1001,193,130300.83,58601.27,16765.17,580.64,14021.37,4845.32,1
100007201,1,1001,215,36130.48,44057.1,16045.5,4105.14,1741.93,0.0,1
100007202,1,1001,215,73933.24,41286.15,14001.34,0.0,10106.08,0.0,1
100007203,1,1001,215,124331.41,84962.95,33479.69,2919.16,12466.34,2719.55,1
100007204,1,1001,215,96416.18,63454.42,17434.11,0.0,10631.88,21345.62,1
100007205,1,1001,215,38472.69,23538.19,12111.21,0.0,1167.0,3216.48,1
100007206,1,1001,215,131065.33,63527.32,21314.24,9287.41,7905.71,3521.73,1
100008401,1,1001,218,103179.77,45370.29,15749.88,1933.54,7074.19,4744.54,1
100008402,1,1001,218,89747.32,45928.56,15743.4,16256.46,6017.91,0.0,1
100008403,1,1001,218,103557.42,68782.76,26601.29,0.0,8911.45,7923.9,1
100008404,1,1001,218,99750.56,15301.22,5297.11,0.0,4692.71,0.0,1
100008405,1,1001,218,96379.71,40282.12,17980.54,1712.88,4211.51,224.98,1
100008406,1,1001,218,31173.12,11177.0,5155.65,0.0,1704.57,0.0,1
100009601,1,1001,180,35606.44,894.0,0.0,0.0,0.0,0.0,1
100009602,1,1001,180,235665.3,65223.07,21381.37,21000.0,3600.0,1858.68,1
100009603,1,1001,180,61578.67,45026.95,26446.86,0.0,1350.0,0.0,1
100009604,1,1001,180,57531.12,24185.55,12946.91,2400.0,1770.0,0.0,1
100009605,1,1001,180,106273.11,69097.77,36295.5,13950.0,9000.0,0.0,1
100009606,1,1001,180,127352.44,64912.2,17704.22,597.0,9191.1,0.0,1
100010901,1,1001,194,41562.08,29335.19,4191.38,1335.48,7586.12,0.0,1
100010902,1,1001,194,86310.51,48565.29,18719.84,4099.21,13998.34,0.0,1
100010903,1,1001,194,166513.48,67266.83,9257.04,13804.82,9629.03,782.6,1
100010904,1,1001,194,34239.12,31329.44,6634.23,870.96,10587.36,0.0,1
100010905,1,1001,194,76826.36,52411.03,24377.06,4645.15,12886.16,0.0,1
100010906,1,1001,194,161154.81,220656.65,62074.05,3499.63,122348.11,1467.39,1
100011801,1,1001,207,97598.33,36793.36,19324.12,3448.95,6252.8,303.25,1
100011802,1,1001,207,46108.6,41150.2,28542.74,245.9,2250.0,0.0,1
100011803,1,1001,207,65263.98,32251.08,8678.5,2852.45,3758.56,342.38,1
100011804,1,1001,207,81654.84,36932.61,8074.23,4445.9,11400.0,0.0,1
100011805,1,1001,207,24451.16,30351.37,11404.12,0.0,2219.97,0.0,1
100011806,1,1001,207,67719.17,47476.1,11532.78,0.0,17511.13,3824.98,1
100012001,1,1001,191,100745.07,73335.77,31114.14,5131.12,11399.78,111.52,1
100012004,1,1001,191,75422.11,36086.49,17768.27,4877.41,6397.75,567.38,1
100012005,1,1001,191,123967.7,76570.69,23001.28,1456.32,14468.15,449.99,1
100012006,1,1001,191,77541.03,35908.16,18777.58,469.55,9614.5,72.39,1
100013801,1,1001,183,166816.1,53726.5,5168.5,627.0,17274.0,0.0,1
100013803,1,1001,183,176688.01,89912.93,23631.25,1077.0,19800.0,0.0,1
100013804,1,1001,183,41680.32,53562.46,29532.64,1519.56,9600.0,0.0,1
100013805,1,1001,183,93217.78,37327.18,13885.67,1080.0,8220.0,0.0,1
100013806,1,1001,183,99785.44,28557.08,6531.39,300.0,14464.28,0.0,1
100014201,1,1001,203,34444.22,28748.02,11686.99,1045.16,1747.64,5705.16,1
100014202,1,1001,203,83899.19,43643.02,15235.57,1672.02,9238.96,1467.39,1
100014203,1,1001,203,89961.34,48814.61,22872.7,9451.41,2541.29,0.0,1
100014204,1,1001,203,25860.24,41470.34,21779.74,2571.42,3193.54,48.91,1
100014205,1,1001,203,151162.3,100442.99,17087.01,3193.54,18327.92,2543.46,1
100014206,1,1001,203,37568.05,50178.17,14759.82,19798.9,2620.64,4271.05,1
100015401,1,1001,204,48031.0,26232.36,7302.77,5283.85,8746.81,342.38,1
100015402,1,1001,204,64779.78,40512.52,24376.94,2755.15,8277.09,0.0,1
100015403,1,1001,204,72279.24,51268.58,27269.74,1451.6,12529.32,1007.58,1
100015405,1,1001,204,114437.35,70960.09,19362.69,20967.29,12624.76,2866.29,1
100015406,1,1001,204,106080.92,73878.18,37323.87,7978.05,13351.74,635.85,1
100016601,1,1001,196,148270.89,67237.7,38956.83,5340.0,9942.8,440.2,1
100016602,1,1001,196,61367.19,49651.63,17601.22,0.0,22850.65,0.0,1
100016603,1,1001,196,157517.5,56363.03,39149.7,157.37,6715.7,2822.26,1
100016604,1,1001,196,119010.99,41238.96,9899.85,5716.3,11722.94,34.23,1
100016605,1,1001,196,105346.14,42343.92,14952.73,7141.42,10224.3,4493.14,1
100017801,1,1001,214,28745.9,16984.98,7714.14,0.0,3184.25,0.0,1
100017802,1,1001,214,56119.61,31727.14,6235.62,4254.96,4671.4,3815.2,1
100017803,1,1001,214,29925.13,21733.71,5772.77,7050.0,1704.0,63.58,1
100017804,1,1001,214,42184.19,78756.15,8451.9,6984.83,22300.8,0.0,1
100017805,1,1001,214,37904.04,17238.99,5483.47,0.0,5935.08,0.0,1
100017806,1,1001,214,56016.37,21148.04,11751.28,1800.0,1200.0,2739.11,1
100018301,1,1001,204,89663.16,38027.4,15968.41,4354.83,6833.48,1173.91,1
100018302,1,1001,204,106328.38,65329.83,29044.07,11903.21,14449.29,1027.17,1
100018303,1,1001,204,68744.24,48432.87,31486.73,0.0,8337.09,0.0,1
100018304,1,1001,204,104555.55,50617.7,14515.54,1500.93,6885.47,0.0,1
100018305,1,1001,204,49423.6,47999.5,26073.98,7769.01,7766.12,0.0,1
100018306,1,1001,204,46169.46,17756.51,12689.78,0.0,2330.32,0.0,1
100019501,1,1001,195,99893.34,73528.18,17009.77,38612.88,5871.18,0.0,1
100019502,1,1001,195,63654.79,37451.88,17999.71,2961.27,4980.86,2641.28,1
100019503,1,1001,195,51500.69,24686.96,15093.94,2294.17,4778.27,0.0,1
100019504,1,1001,195,37030.31,74167.92,24788.37,12477.54,34264.97,0.0,1
100019505,1,1001,195,72250.86,42788.24,13756.94,11374.94,10657.04,0.0,1
100019506,1,1001,195,64614.09,47055.74,17929.04,4790.31,10022.32,146.73,1
100020701,1,1001,210,52155.68,30871.51,13628.45,0.0,8417.21,0.0,1
100020702,1,1001,210,92670.43,32966.44,22024.04,0.0,5700.0,293.46,1
100020703,1,1001,210,71704.91,32839.09,8331.29,450.0,5503.72,0.0,1
100020704,1,1001,210,235055.18,98251.94,39117.49,1258.03,16330.39,14967.37,1
100020705,1,1001,210,68202.01,23899.87,6531.4,0.0,3983.6,0.0,1
100020706,1,1001,210,93386.37,65863.27,18526.96,9860.65,10420.81,459.78,1
100021901,1,1001,223,54661.0,59137.13,23811.23,9048.72,6286.29,0.0,1
100021903,1,1001,223,56219.33,29031.03,11866.97,3045.46,1780.64,0.0,1
100021904,1,1001,223,108752.71,80399.93,24351.25,15741.69,23029.22,2384.01,1
100021905,1,1001,223,87280.41,59421.7,20442.6,0.0,8729.02,2543.47,1
100022201,1,1001,205,69803.55,52630.49,7032.78,98.9,37570.26,547.82,1
100022202,1,1001,205,63989.13,16329.38,2249.96,2874.18,5101.34,1643.47,1
100022203,1,1001,205,103118.5,66917.51,27102.54,11635.23,8782.52,205.43,1
100022204,1,1001,205,210525.13,165498.6,84805.52,1179.46,35461.69,8364.08,1
100022206,1,1001,205,90486.51,76585.84,29890.8,1161.29,39066.35,439.23,1
100023001,1,1001,212,129124.85,48286.85,23296.99,220.1,15333.67,117.39,1
100023002,1,1001,212,41209.21,35850.43,12432.71,0.0,7887.09,0.0,1
100023004,1,1001,212,67992.27,57358.97,19902.73,15089.49,9479.03,2739.11,1
100023005,1,1001,212,42114.09,47280.85,18629.8,3322.92,11752.55,0.0,1
100023006,1,1001,212,35484.48,23105.27,16186.96,0.0,4154.47,0.0,1
100024301,1,1001,203,67173.86,35660.87,18591.17,3706.14,2412.83,909.77,1
100024302,1,1001,203,84791.02,125394.39,25462.11,6420.37,65443.28,743.46,1
100024303,1,1001,203,79380.19,45049.21,17045.91,681.62,9054.25,4499.97,1
100024304,1,1001,203,82295.0,80409.9,4242.83,15825.86,22167.78,3126.49,1
100024305,1,1001,203,124112.21,50940.36,9449.79,1907.6,22869.77,841.29,1
100024306,1,1001,203,36237.51,38303.24,16392.67,0.0,8280.0,148.69,1
100025501,1,1001,171,104137.33,83235.4,22487.02,2739.13,29505.43,0.0,1
100025502,1,1001,171,35413.01,24312.0,5747.06,5841.15,5274.7,0.0,1
100025503,1,1001,171,55666.19,42188.15,24184.1,0.0,11612.9,733.68,1
100025504,1,1001,171,83901.62,61818.49,29982.67,5661.28,13168.38,1576.94,1
100025505,1,1001,171,85498.75,49162.33,28349.68,5286.69,4481.56,29.34,1
100025506,1,1001,171,71845.35,40997.78,21214.06,0.0,10393.37,1203.24,1
100026701,1,1001,193,58247.84,19131.28,5425.64,4573.76,2978.57,0.0,1
